timestamp,open,high,low,close,volume,datetime
1709251200000,61130.99,61338.72,61126.0,61224.49,512.96054,2024-03-01 00:00:00
1709252100000,61224.49,61749.0,61193.71,61716.74,639.28304,2024-03-01 00:15:00
1709253000000,61716.74,61741.1,61519.42,61583.53,366.15793,2024-03-01 00:30:00
1709253900000,61583.52,61649.99,61447.3,61501.11,349.39751,2024-03-01 00:45:00
1709254800000,61501.1,61501.11,61283.6,61340.71,346.87049,2024-03-01 01:00:00
1709255700000,61340.7,61566.95,61292.04,61503.18,336.50783,2024-03-01 01:15:00
1709256600000,61503.18,61503.19,61244.53,61408.93,419.49682,2024-03-01 01:30:00
1709257500000,61408.93,61431.1,61125.4,61214.35,449.37972,2024-03-01 01:45:00
1709258400000,61214.35,61214.36,60968.3,60968.31,434.58721,2024-03-01 02:00:00
1709259300000,60968.31,61030.0,60791.1,60931.1,423.9935,2024-03-01 02:15:00
1709260200000,60931.1,61061.09,60781.25,61034.0,414.97233,2024-03-01 02:30:00
1709261100000,61034.0,61061.28,60846.72,60980.0,327.35789,2024-03-01 02:45:00
1709262000000,60980.0,61079.86,60900.62,60954.61,308.58861,2024-03-01 03:00:00
1709262900000,60954.6,60990.0,60777.0,60791.76,306.89274,2024-03-01 03:15:00
1709263800000,60791.75,61012.57,60791.75,61003.64,313.6754,2024-03-01 03:30:00
1709264700000,61003.64,61222.22,60989.62,61105.91,395.45485,2024-03-01 03:45:00
1709265600000,61105.92,61198.37,61061.11,61177.55,253.23682,2024-03-01 04:00:00
1709266500000,61177.56,61417.06,61176.92,61354.29,286.78932,2024-03-01 04:15:00
1709267400000,61354.3,61396.92,61268.0,61301.11,222.76184,2024-03-01 04:30:00
1709268300000,61301.1,61524.09,61242.68,61524.09,304.83771,2024-03-01 04:45:00
1709269200000,61524.08,61546.35,61424.73,61500.0,257.91012,2024-03-01 05:00:00
1709270100000,61500.0,61530.69,61392.0,61427.11,188.38464,2024-03-01 05:15:00
1709271000000,61427.12,61511.09,61371.1,61476.34,280.40469,2024-03-01 05:30:00
1709271900000,61476.35,61496.88,61295.86,61312.01,342.9387,2024-03-01 05:45:00
1709272800000,61312.01,61483.33,61201.1,61483.32,310.14725,2024-03-01 06:00:00
1709273700000,61483.33,61761.0,61481.1,61668.57,542.06487,2024-03-01 06:15:00
1709274600000,61668.57,61682.81,61510.0,61545.27,264.67838,2024-03-01 06:30:00
1709275500000,61545.27,61621.61,61461.99,61568.18,249.05854,2024-03-01 06:45:00
1709276400000,61568.18,61733.99,61558.0,61712.32,323.31361,2024-03-01 07:00:00
1709277300000,61712.32,61772.82,61486.07,61486.08,416.92787,2024-03-01 07:15:00
1709278200000,61486.07,61541.99,61383.98,61422.4,699.27848,2024-03-01 07:30:00
1709279100000,61422.4,61591.1,61401.78,61434.0,776.6722,2024-03-01 07:45:00
1709280000000,61434.0,61532.87,61316.67,61502.0,498.12154,2024-03-01 08:00:00
1709280900000,61502.01,61879.13,61502.0,61846.0,733.21336,2024-03-01 08:15:00
1709281800000,61845.99,62243.53,61791.33,62153.47,1187.70113,2024-03-01 08:30:00
1709282700000,62153.46,62179.69,61853.9,61908.62,741.45454,2024-03-01 08:45:00
1709283600000,61908.63,62178.0,61854.33,62113.02,640.14094,2024-03-01 09:00:00
1709284500000,62113.03,62188.0,62040.0,62131.1,480.20267,2024-03-01 09:15:00
1709285400000,62131.09,62185.99,62040.0,62057.97,393.70589,2024-03-01 09:30:00
1709286300000,62057.98,62184.9,62040.0,62129.15,519.71021,2024-03-01 09:45:00
1709287200000,62129.14,62129.15,61978.64,62000.01,455.17994,2024-03-01 10:00:00
1709288100000,62000.0,62188.0,61917.66,62130.01,488.05561,2024-03-01 10:15:00
1709289000000,62130.01,62170.0,61978.45,61979.08,458.68249,2024-03-01 10:30:00
1709289900000,61979.08,62025.35,61859.29,61991.11,373.06267,2024-03-01 10:45:00
1709290800000,61991.1,62104.94,61985.17,62100.0,333.33311,2024-03-01 11:00:00
1709291700000,62099.99,62110.0,61900.05,61941.23,447.17567,2024-03-01 11:15:00
1709292600000,61941.23,61993.07,61811.01,61981.11,408.15635,2024-03-01 11:30:00
1709293500000,61981.1,61996.71,61831.12,61863.72,294.38379,2024-03-01 11:45:00
1709294400000,61863.71,62087.84,61855.1,62010.2,371.22168,2024-03-01 12:00:00
1709295300000,62010.19,62180.0,62010.19,62134.36,300.00339,2024-03-01 12:15:00
1709296200000,62134.35,62552.7,62104.43,62493.49,788.78541,2024-03-01 12:30:00
1709297100000,62493.49,62574.99,62159.21,62230.0,691.78297,2024-03-01 12:45:00
1709298000000,62230.01,62397.99,62193.55,62356.12,436.44549,2024-03-01 13:00:00
1709298900000,62356.13,62677.06,62320.0,62547.99,643.74578,2024-03-01 13:15:00
1709299800000,62548.0,62624.02,62406.0,62525.42,564.37768,2024-03-01 13:30:00
1709300700000,62525.42,62587.54,62407.52,62457.98,380.83154,2024-03-01 13:45:00
1709301600000,62457.99,62486.0,62311.1,62361.74,450.02849,2024-03-01 14:00:00
1709302500000,62361.74,62436.86,62260.72,62353.99,487.6614,2024-03-01 14:15:00
1709303400000,62353.99,62448.46,61525.66,61889.56,1351.22018,2024-03-01 14:30:00
1709304300000,61889.56,61976.43,61669.66,61948.3,660.18965,2024-03-01 14:45:00
1709305200000,61948.3,62181.81,61833.33,61944.51,637.05152,2024-03-01 15:00:00
1709306100000,61944.5,61979.0,61750.0,61878.11,504.59193,2024-03-01 15:15:00
1709307000000,61878.11,61913.51,61484.98,61611.1,785.13844,2024-03-01 15:30:00
1709307900000,61611.1,61671.1,61131.01,61263.99,918.2035,2024-03-01 15:45:00
1709308800000,61263.98,61522.03,61234.0,61442.04,718.78096,2024-03-01 16:00:00
1709309700000,61442.04,61626.16,61250.0,61525.62,543.03957,2024-03-01 16:15:00
1709310600000,61525.62,61559.17,61260.0,61421.1,539.66971,2024-03-01 16:30:00
1709311500000,61421.1,61554.43,61387.56,61427.38,428.49042,2024-03-01 16:45:00
1709312400000,61427.38,61727.93,61427.37,61680.39,426.45109,2024-03-01 17:00:00
1709313300000,61680.4,62000.0,61652.49,61744.02,708.06712,2024-03-01 17:15:00
1709314200000,61744.02,62058.0,61739.59,62036.61,672.22518,2024-03-01 17:30:00
1709315100000,62036.62,62097.38,61867.07,61909.98,370.00307,2024-03-01 17:45:00
1709316000000,61909.98,62032.43,61822.82,62002.08,344.63351,2024-03-01 18:00:00
1709316900000,62002.07,62250.0,61901.69,62240.31,511.87534,2024-03-01 18:15:00
1709317800000,62240.3,62440.0,62133.0,62419.93,585.67467,2024-03-01 18:30:00
1709318700000,62419.93,62494.31,62243.75,62333.52,492.80767,2024-03-01 18:45:00
1709319600000,62333.52,62361.15,62084.59,62126.0,394.95155,2024-03-01 19:00:00
1709320500000,62126.0,62187.22,61964.11,62037.94,350.86793,2024-03-01 19:15:00
1709321400000,62037.93,62326.28,62000.0,62321.77,439.69259,2024-03-01 19:30:00
1709322300000,62321.76,62335.13,62125.62,62215.5,359.12536,2024-03-01 19:45:00
1709323200000,62215.51,62371.99,62215.5,62300.0,442.08184,2024-03-01 20:00:00
1709324100000,62300.01,62498.88,62300.0,62498.87,583.29405,2024-03-01 20:15:00
1709325000000,62498.87,62621.1,62415.63,62582.04,745.85839,2024-03-01 20:30:00
1709325900000,62582.03,63114.23,62414.44,62861.11,1756.19866,2024-03-01 20:45:00
1709326800000,62861.1,62884.36,62258.83,62721.76,1053.0811,2024-03-01 21:00:00
1709327700000,62721.76,62869.38,62546.85,62763.6,666.80057,2024-03-01 21:15:00
1709328600000,62763.59,62822.78,62516.67,62645.2,566.35658,2024-03-01 21:30:00
1709329500000,62645.2,62672.27,62491.79,62520.47,411.68638,2024-03-01 21:45:00
1709330400000,62520.47,62536.71,62423.99,62489.98,312.82857,2024-03-01 22:00:00
1709331300000,62489.99,62674.92,62368.95,62368.95,615.10935,2024-03-01 22:15:00
1709332200000,62368.95,62463.79,62318.32,62418.98,391.93465,2024-03-01 22:30:00
1709333100000,62418.98,62599.97,62318.33,62490.09,334.39325,2024-03-01 22:45:00
1709334000000,62490.09,62661.1,62460.0,62661.08,397.58922,2024-03-01 23:00:00
1709334900000,62661.09,62725.92,62533.44,62561.09,441.2418,2024-03-01 23:15:00
1709335800000,62561.1,62619.4,62355.3,62381.89,343.90509,2024-03-01 23:30:00
1709336700000,62381.89,62520.23,62358.96,62387.9,300.67908,2024-03-01 23:45:00
1709337600000,62387.9,62433.19,62259.0,62312.78,491.64608,2024-03-02 00:00:00
